inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,3.0358239508700104,3.240299735742972
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,1.0,1.0
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,4.590909090909091,6.466872827867986
5,668627,motor-mVAN,#000000,,6.888888888888889
6,677717,KC-4claw,#da015d,3.5555555555555554,3.240299735742972
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,6.666666666666667,6.466872827867986
9,855719,motor-mAN,#000000,6.290322580645161,6.466872827867986
10,858479,O_dSEZ,#b1826d,,4.546311427925615
11,865151,O_dSEZ,#b1826d,5.815384615384615,4.546311427925615
12,865801,motor-mAN,#000000,7.071428571428571,6.466872827867986
13,867393,unk,#acaac8,5.091549295774648,5.073270752241384
14,869360,O_dSEZ,#b1826d,4.0,4.546311427925615
15,873148,motor-mAN,#000000,7.2,6.466872827867986
16,873782,motor-mAN,#000000,7.3125,6.466872827867986
17,875613,motor-mAN,#000000,,6.466872827867986
18,882339,motor-mAN,#000000,,6.466872827867986
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,6.466872827867986
23,937332,motor-mAN,#000000,5.782258064516129,6.466872827867986
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,6.196428571428571,4.546311427925615
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,4.883289124668435,5.0983792703485715
29,1137946,unk,#acaac8,6.678233438485805,5.073270752241384
30,1141813,unk,#acaac8,7.0875,5.073270752241384
31,1218587,motor-mAN,#000000,,6.466872827867986
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,4.873563218390805,5.073270752241384
51,1591351,FFN,#ba6efd,3.9079136690647482,4.720812604179587
52,1622901,O_dVNC,#ff9070,5.1417004048583,5.0983792703485715
53,1646076,unk,#acaac8,5.428256070640177,5.073270752241384
54,1678567,O_dVNC,#ff9070,4.388,5.0983792703485715
55,1679034,unk,#acaac8,5.606060606060606,5.073270752241384
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,4.846153846153846,5.073270752241384
59,1805418,unk,#acaac8,5.452214452214452,5.073270752241384
60,1805669,unk,#acaac8,4.967963386727689,5.073270752241384
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,4.701663201663202,5.073270752241384
63,1924051,O_dSEZ,#b1826d,,4.546311427925615
64,1961182,unk,#acaac8,5.140495867768595,5.073270752241384
65,2142817,unk,#acaac8,4.371308016877637,5.073270752241384
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,6.0
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,5.8882352941176475,4.808005154068903
77,2283495,O_RG-IPC,#916e56,4.163098878695209,4.326936227224342
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,4.38641425389755,4.326936227224342
81,2357110,O_RG-IPC,#916e56,4.341004184100418,4.326936227224342
82,2369444,LHN;CN,#959167,3.514,3.3332645843907227
83,2379529,unk,#acaac8,3.5597826086956523,5.073270752241384
84,2379544,unk,#acaac8,4.1782477341389725,5.073270752241384
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,4.996918335901387,5.073270752241384
87,2439067,LHN,#d4e29e,3.1661631419939575,3.51676920206973
88,2439134,LHN,#d4e29e,3.6621761658031087,3.51676920206973
89,2439150,unk,#acaac8,4.07239263803681,5.073270752241384
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,5.114726027397261,5.073270752241384
93,2505266,unk,#acaac8,5.662482566248257,5.073270752241384
94,2506050,MBIN-DAN,#db7e01,4.471,4.291259056016244
95,2512602,LON,#97bca8,6.0,6.0
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,3.236607142857143,5.073270752241384
100,2568465,mPN-multi,#05acc6,2.8079625292740045,2.19478654891596
101,2568522,unk,#acaac8,3.0253968253968253,5.073270752241384
102,2571761,sens-ORN,#00753f,1.0,1.0
103,2582391,sens-ORN,#00753f,1.0,1.0
104,2584838,sens-ORN,#00753f,1.0,1.0
105,2597151,unk,#acaac8,4.151115618661257,5.073270752241384
106,2608843,sens-ORN,#00753f,1.0,1.0
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,1.0,1.0
109,2612527,mPN-multi,#05acc6,2.2321814254859613,2.19478654891596
110,2628785,unk,#acaac8,3.491103202846975,5.073270752241384
111,2648254,O_dSEZ,#b1826d,5.688505747126436,4.546311427925615
112,2650887,CN2,#acaa59,4.505505505505505,4.523983781794462
113,2652641,unk,#acaac8,,5.073270752241384
114,2655798,unk,#acaac8,5.403204272363151,5.073270752241384
115,2659386,O_RG,#916e56,4.590561224489796,4.808005154068903
116,2659504,unk,#acaac8,6.258364312267658,5.073270752241384
117,2663649,O_dUnk,#a55949,4.688106796116505,5.296721692631956
118,2667061,FFN,#ba6efd,4.030010718113612,4.720812604179587
119,2667980,unk,#acaac8,5.074024226110363,5.073270752241384
120,2669331,LHN2,#ebffd4,4.5476190476190474,3.8693873092001496
121,2669844,O_dVNC,#ff9070,5.3901437371663246,5.0983792703485715
122,2670619,O_dVNC,#ff9070,6.160469667318982,5.0983792703485715
123,2772093,unk,#acaac8,6.839319470699433,5.073270752241384
124,2775707,LON,#97bca8,,6.0
125,2775943,LON,#97bca8,6.0,6.0
126,2776773,LHN,#d4e29e,4.3102981029810294,3.51676920206973
127,2797480,LHN2,#ebffd4,3.733780760626398,3.8693873092001496
