,alpha,beta,c,norm,corr
0,0.006,1.0,0,False,0.6201632775001771
1,0.006,0.8,0,False,0.6107235750582497
2,0.006,0.6,0,False,0.6329937637758187
3,0.006,0.4,0,False,0.5741991674286746
4,0.006,0.2,0,False,0.6376288874570765
5,0.002,1.0,0,False,0.7458478637935679
6,0.002,0.8,0,False,0.7289537577976167
7,0.002,0.6,0,False,0.7687543930166253
8,0.002,0.4,0,False,0.7574517750454616
9,0.002,0.2,0,False,0.7415100770008928
10,0.0012,1.0,0,False,0.7647600257352406
11,0.0012,0.8,0,False,0.669502260166896
12,0.0012,0.6,0,False,0.7163305849128593
13,0.0012,0.4,0,False,0.6879184244898805
14,0.0012,0.2,0,False,0.6981520767047864
15,0.0006,1.0,0,False,0.8212139021077992
16,0.0006,0.8,0,False,0.7858883124515528
17,0.0006,0.6,0,False,0.7829365635354134
18,0.0006,0.4,0,False,0.7711940695239347
19,0.0006,0.2,0,False,0.7607978313986602
20,0.00012,1.0,0,False,0.8413276234598791
21,0.00012,0.8,0,False,0.8338458522641116
22,0.00012,0.6,0,False,0.8568805592469334
23,0.00012,0.4,0,False,0.8394411798584436
24,0.00012,0.2,0,False,0.859317875937667
25,6e-05,1.0,0,False,0.8439085307057698
26,6e-05,0.8,0,False,0.8584601176590526
27,6e-05,0.6,0,False,0.8501990228801741
28,6e-05,0.4,0,False,0.847882563066098
29,6e-05,0.2,0,False,0.85112463172648
