,HamalDiocletian
1400725,0
29,1
37365,2
40045,3
40152,4
677717,5
766246,6
855719,7
858479,8
865151,7
867393,4
869360,7
900032,6
902038,6
902877,6
946481,6
992646,7
1011675,9
1065967,10
1137946,11
1141813,11
1347886,7
1351125,7
1367171,0
1375101,0
1377586,4
1391179,0
1392771,0
1395971,0
1398253,0
1405493,0
1406463,0
1414206,4
1419315,7
1427012,7
1429969,4
1591270,12
1622901,13
1646076,14
1678567,15
1679034,15
1706716,8
1715990,16
1805406,11
1805418,17
1805669,10
1856512,6
1868538,10
1924051,7
1961182,18
2142817,4
2200028,2
2204467,2
2206279,2
2209091,2
2215247,2
2215447,2
2215622,2
2216131,2
2216187,2
2216445,2
2260755,4
2283495,4
2284021,4
2340336,4
2355126,4
2357110,4
2369444,4
2379529,8
2379544,19
2438653,20
2439067,21
2439134,22
2439150,9
2456826,4
2504517,17
2505266,17
2506050,9
2512602,6
2532841,6
2544902,6
2552701,6
2557644,16
2568465,23
2568522,23
2571761,5
2582391,16
2584838,5
2597151,4
2608843,5
2610744,3
2611805,3
2612527,24
2628785,24
2648254,25
2650887,17
2652641,11
2655798,11
2659386,4
2659504,26
2663649,11
2667061,10
2667980,26
2669331,27
2669844,28
2670619,11
2772093,11
2775707,6
2775943,6
2776773,29
2797480,23
2846555,30
2852273,4
2854715,31
2878185,11
2881070,11
2885630,11
2910892,11
2911847,11
2914206,29
2920061,29
2920554,29
2921933,29
2932028,32
2935173,31
2935198,29
2963280,10
2964760,20
2966602,0
2979486,33
2979675,23
2988292,23
3002410,29
3009700,11
3010486,10
3021609,10
3027876,34
3032520,24
3043970,35
3044500,21
3046503,4
3048606,11
3054101,3
3058132,11
3060480,21
3061422,30
3071301,16
3122533,11
3123905,7
3149791,18
3157405,4
3158085,4
3158123,4
3158543,3
3166745,11
3166836,11
3167039,31
3180681,11
3182103,11
3192952,7
3199456,16
3232277,10
3232808,10
3234817,1
3235409,31
3251140,11
3272218,30
3276003,4
3281684,4
3299214,0
3347708,1
3347834,1
3410499,3
3410506,3
3414508,4
3436420,4
3450442,3
3450751,24
3464773,3
3465659,3
3486381,3
3486867,16
3487306,29
3497901,1
3498479,4
3511996,3
3522293,1
3538129,5
3539170,8
3543931,8
3547397,3
3556191,4
3561724,4
3586984,8
3587612,1
3592997,3
3595837,30
3598000,4
3608397,36
3609202,36
3620633,4
3639968,36
3650006,8
3650600,29
3652587,8
3664102,1
3690921,29
3694515,3
3707204,16
3708875,8
3716797,3
3726990,9
3727004,29
3727026,4
3729496,7
3729504,4
3732322,7
3756659,29
3762317,7
3762787,4
3764792,37
3765728,9
3765735,18
3768025,3
3771794,3
3774568,21
3790004,5
3793681,8
3793760,9
3794023,19
3795424,16
3795498,0
3797420,7
3806573,5
3806652,38
3813723,5
3814175,32
3814635,16
3814651,39
3814701,8
3814853,31
3819157,40
3819171,3
3819859,33
3820148,36
3822523,16
3827211,5
3840345,5
3844799,16
3844961,16
3848843,16
3862443,11
3865952,5
3869488,29
3872653,31
3882998,18
3885215,5
3886356,41
3890028,42
3893195,5
3896629,5
3913613,6
3913620,25
3913629,5
3915835,7
3925724,4
3926438,19
3926669,41
3926904,4
3928522,19
3928574,19
3928652,19
3930411,32
3931398,9
3932136,31
3944330,20
3944626,20
3945136,37
3945225,4
3945232,0
3945246,20
3945394,0
3945454,0
3945756,28
3946166,4
3946364,19
3946432,19
3946569,19
3954014,5
3958234,5
3963891,5
3966683,16
3979181,43
3980315,5
3985829,5
4017089,5
4017464,25
4022539,32
4023881,5
4044654,16
4067286,10
4073353,5
4076389,5
4096703,38
4097554,10
4099900,32
4101295,16
4101621,32
4102413,29
4103336,12
4108016,36
4108720,31
4110483,28
4114133,10
4116174,16
4117305,40
4119387,10
4127096,10
4127707,29
4127926,11
4127938,11
4127944,30
4128002,33
4130960,11
4134539,40
4142619,15
4144377,25
4152020,29
4152272,25
4154421,36
4173633,15
4180774,25
4185530,25
4188290,42
4188325,25
4190567,44
4195012,1
4199033,45
4201020,45
4201555,44
4214582,32
4215611,37
4227304,1
4227544,1
4227831,45
4227880,45
4228105,45
4228119,22
4229950,1
4230061,1
4230739,1
4230749,1
4234009,45
4234016,45
4234559,15
4235139,45
4241192,1
4241237,1
4260935,36
4274518,26
4279887,36
4311241,15
4311586,38
4319395,29
4324479,13
4324567,13
4324898,5
4327684,16
4337398,25
4338596,19
4346154,46
4354933,3
4363883,0
4379508,42
4379603,22
4381129,13
4381377,9
4390116,15
4391317,22
4391978,38
4393026,11
4393049,16
4393350,11
4398543,2
4400767,0
4401350,40
4408362,45
4408369,45
4408397,45
4409374,15
4411505,40
4411542,45
4411688,42
4412036,40
4412315,40
4414163,0
4414184,0
4414426,1
4415241,1
4422289,35
4433197,45
4433960,45
4444354,1
4453485,4
4473922,22
4493199,3
4506509,4
4514494,32
4515496,45
4518546,40
4523584,4
4523803,4
4541081,8
4570270,36
4575178,45
4591713,15
4598109,0
4598363,1
4607160,22
4617479,47
4620453,29
4635057,36
4636432,36
4637677,21
4651929,5
4664256,47
4665186,48
4665627,45
4679139,16
4680995,2
4700078,5
4721087,10
4721538,23
4749004,15
4778745,36
4780707,36
4785242,19
4812481,17
4847079,17
4849988,25
4876704,38
4876839,28
4884579,34
4901087,48
4917442,25
4919895,1
4926999,22
4966994,14
4982172,5
4983938,29
4985759,36
4991243,8
5010581,4
5019924,1
5033480,21
5038920,30
5051342,1
5052370,25
5053417,46
5057916,24
5080991,21
5088293,24
5090549,3
5091874,41
5093516,3
5095269,24
5116147,3
5116861,8
5118060,36
5120990,24
5134110,11
5162462,17
5163599,17
5164129,14
5167842,25
5169587,32
5186443,33
5186461,8
5247102,16
5261424,8
5289042,22
5291791,3
5319633,25
5321459,45
5322337,24
5326407,45
5327961,24
5369028,49
5382876,4
5395823,40
5448622,16
5453333,48
5462159,47
5474852,8
5476653,4
5478818,16
5480553,4
5484314,22
5500958,50
5503982,47
5507096,29
5512988,11
5516552,15
5545085,11
5558724,7
5559657,4
5560620,4
5577650,21
5585799,11
5590611,16
5591201,16
5592307,16
5617164,7
5656152,31
5657004,11
5669107,51
5671303,23
5675990,23
5678582,12
5679304,23
5680013,47
5681132,13
5684940,47
5688091,30
5689639,23
5690425,2
5691934,11
5700090,31
5704424,11
5708994,8
5712849,48
5730322,26
5734134,47
5738449,51
5744058,33
5744502,11
5745110,21
5745929,47
5746180,23
5747036,23
5750884,11
5754346,30
5755261,11
5760480,23
5762666,2
5763407,11
5764924,21
5767836,11
5768240,10
5769582,47
5771934,46
5778133,21
5782947,25
5783868,49
5786898,25
5790355,25
5791548,49
5794678,43
5805651,45
5816138,25
5835799,1
5835815,1
5836035,1
5836163,1
5836181,1
5836197,1
5836206,1
5836387,1
5855343,27
5856647,43
5858788,17
5859372,13
5865628,47
