,binarize,graph_type,res,threshold,seed,param_key,modularity
0,True,Gad,0.2,0,67906046,CataloniaMavis,0.31362822766746845
1,True,Gad,0.2,1,35731949,DooleyBeethoven,0.36415775133135186
2,True,Gad,0.2,2,64021743,OrionFinland,0.40536476960351536
3,True,Gad,0.2,3,63247510,PiedmontSegovia,0.43641369599575114
4,True,Gad,0.25,0,63467879,BelgiumHarvey,0.35777376360112556
5,True,Gad,0.25,1,7062318,FrederickBlvd,0.39951081285720813
6,True,Gad,0.25,2,95805433,SiegfriedPaterson,0.4252846373782235
7,True,Gad,0.25,3,58508177,OceaniaSpica,0.4428442703816421
8,True,Gad,0.3,0,80562576,SeattleAleutian,0.37572697584300274
9,True,Gad,0.3,1,57833181,SardiniaAgee,0.4122351048235622
10,True,Gad,0.3,2,5804812,EcuadorSydney,0.4431602374031046
11,True,Gad,0.3,3,20828000,DamascusClaremont,0.4663076348968622
12,True,Gad,0.35,0,34157177,DruryBridgewater,0.39638864785679023
13,True,Gad,0.35,1,86279683,VenetoAquinas,0.42226580993256746
14,True,Gad,0.35,2,9444304,NiobeAshley,0.4488784337984516
15,True,Gad,0.35,3,30761958,PaulsonCumberland,0.47487627673267213
16,True,Gad,0.4,0,13633939,HottentotBritish,0.40771535722658603
17,True,Gad,0.4,1,63780830,ArabyThayer,0.4330495906741071
18,True,Gad,0.4,2,42722683,AllanCohen,0.4496453200448872
19,True,Gad,0.4,3,82165940,PaulusFraser,0.4844714741364197
20,True,Gad,0.45,0,86895335,RivieraHeinz,0.42271695580569213
21,True,Gad,0.45,1,10184072,BeloitSino,0.44851044931801654
22,True,Gad,0.45,2,42079350,SchillerIsaiah,0.4787791298970506
23,True,Gad,0.45,3,23710243,DoolittleZambia,0.4937889978684355
24,True,G,0.2,0,36337324,MirandaMohammed,0.35570894405228687
25,True,G,0.2,1,8601141,WyliePerez,0.40158582495093537
26,True,G,0.2,2,42142553,JesseWei,0.40692562854195435
27,True,G,0.2,3,92852094,JeremyMimi,0.4306629003029725
28,True,G,0.25,0,12462458,KlanDes,0.3788399756714635
29,True,G,0.25,1,11125375,TientsinChopin,0.4254795356605663
30,True,G,0.25,2,15774486,PythagorasCarrie,0.44851157022294397
31,True,G,0.25,3,58704478,SisyphusSalvatore,0.46070138591779153
32,True,G,0.3,0,75895370,CetusRaleigh,0.3969512929239635
33,True,G,0.3,1,21045642,KumarMediterranean,0.44508495604334797
34,True,G,0.3,2,41798265,TheresaIcarus,0.46271962562395325
35,True,G,0.3,3,41484114,BrunoOlivetti,0.4751480203379265
36,True,G,0.35,0,47407465,HadrianHenrietta,0.4111218408896149
37,True,G,0.35,1,97450720,DenebolaAlastair,0.4460464087880319
38,True,G,0.35,2,6399198,MaierHolm,0.47158881501610966
39,True,G,0.35,3,23777934,AnselmoLangley,0.48967713193433987
40,True,G,0.4,0,60007810,CaucasusOshkosh,0.4454279926562315
41,True,G,0.4,1,92474178,RawlinsonBrie,0.46084931449321775
42,True,G,0.4,2,36882430,FinnNixon,0.4796120710376686
43,True,G,0.4,3,87425378,CushingBrendan,0.498131134627327
44,True,G,0.45,0,42288081,AppletonEphraim,0.445800891759862
45,True,G,0.45,1,72981033,FoxhallGibbs,0.47956500400848134
46,True,G,0.45,2,99609304,SchumacherMoluccas,0.49510251498839936
47,True,G,0.45,3,5934884,AdriaticNikolai,0.5042628789617245
48,False,Gad,0.2,0,89193843,AdrienneAubrey,0.4120144397473371
49,False,Gad,0.2,1,80489839,SomervilleBonnie,0.43653154793091725
50,False,Gad,0.2,2,1399088,FerberHaiti,0.4541957435545106
51,False,Gad,0.2,3,37376331,BauerGloucester,0.47470613889662416
52,False,Gad,0.25,0,8160264,EstherBrunswick,0.43061671425507164
53,False,Gad,0.25,1,22554556,MinoanBlackwell,0.4553228862441155
54,False,Gad,0.25,2,91000422,AldebaranNorman,0.4687006083103244
55,False,Gad,0.25,3,89355375,BaghdadGalway,0.4915540121614702
56,False,Gad,0.3,0,80375888,ManvilleLeland,0.4429606823113205
57,False,Gad,0.3,1,22335314,ChristieEmerson,0.4644826962695302
58,False,Gad,0.3,2,56545588,RyanEric,0.49125089100023217
59,False,Gad,0.3,3,32545311,ChartresShiva,0.5086453755739945
60,False,Gad,0.35,0,14456620,LesterHebraic,0.46233087268583556
61,False,Gad,0.35,1,99763170,LincolnLeland,0.4780721732177822
62,False,Gad,0.35,2,8210940,GavinDonahue,0.5022371653127654
63,False,Gad,0.35,3,95161119,CharlottesvilleEkstrom,0.520606567940097
64,False,Gad,0.4,0,78186145,AdlerianPurcell,0.4683552266851634
65,False,Gad,0.4,1,84590684,RoyceO'Neill,0.4910794522194024
66,False,Gad,0.4,2,88875591,ColomboDodson,0.5125410235385912
67,False,Gad,0.4,3,61861562,OligoceneHattiesburg,0.526924290445726
68,False,Gad,0.45,0,4492229,ChryslerDraconian,0.4850617924719459
69,False,Gad,0.45,1,44119240,GrossmanMonmouth,0.5019047096413324
70,False,Gad,0.45,2,58782060,KnudsenBrunswick,0.5219300791189473
71,False,Gad,0.45,3,8832047,BelizeAhmedabad,0.5323606307127599
72,False,G,0.2,0,60672447,LaidlawBizet,0.40955403048712574
73,False,G,0.2,1,9544238,RankinPinsky,0.41889417147152297
74,False,G,0.2,2,26839779,RossLindberg,0.44258456045688604
75,False,G,0.2,3,42842563,AugSemitic,0.46295693432550256
76,False,G,0.25,0,36907112,AldrichShelton,0.43193939923635677
77,False,G,0.25,1,61810986,JackieTompkins,0.45931616028721245
78,False,G,0.25,2,94832001,NorwegianFirestone,0.47003966379666373
79,False,G,0.25,3,73626903,RegulusFermi,0.49825348776313605
80,False,G,0.3,0,96540446,ThaliaAbner,0.4535714412906825
81,False,G,0.3,1,76244980,CretanJudy,0.48114248678002813
82,False,G,0.3,2,17998424,PonceSirius,0.48573897552459
83,False,G,0.3,3,35147636,PolyhymniaPhil,0.5072754201651747
84,False,G,0.35,0,21811377,SalisburyChantilly,0.4631567012046746
85,False,G,0.35,1,64781205,NicholasPythagoras,0.49197805035269887
86,False,G,0.35,2,57931632,JuddArtie,0.5056658959481058
87,False,G,0.35,3,9230814,McElroyCatherine,0.5145880292599115
88,False,G,0.4,0,37711686,WalterEzekiel,0.47229434976488854
89,False,G,0.4,1,36799126,ThessalyLippincott,0.4954718522887357
90,False,G,0.4,2,81439359,NebuchadnezzarVolta,0.5083691790240435
91,False,G,0.4,3,11172231,ManaguaMcAllister,0.5218662558435119
92,False,G,0.45,0,54022569,HollingsworthCinerama,0.4789877851171045
93,False,G,0.45,1,6471401,GestapoTeledyne,0.5154593757309005
94,False,G,0.45,2,52332026,EkstromHan,0.5209082508230777
95,False,G,0.45,3,26223561,SalvatoreEva,0.5365346720180276
96,True,Gad,0.2,0,43560438,SwazilandHutchins,0.32781841443821347
97,True,Gad,0.2,1,51634446,CuvierMajorca,0.3693717922586006
98,True,Gad,0.2,2,53458373,FrauCarlo,0.408514323404846
99,True,Gad,0.2,3,31165511,LeedsPoynting,0.43189536698975345
100,True,Gad,0.25,0,50907014,ManvilleCepheus,0.35879221494478786
101,True,Gad,0.25,1,56457493,CelsiusLockhart,0.39055833915803606
102,True,Gad,0.25,2,1849212,GerardBois,0.4180581310366413
103,True,Gad,0.25,3,28751947,FontaineMadras,0.4503722712248953
104,True,Gad,0.3,0,1576319,DanzigGalbreath,0.3736483311150542
105,True,Gad,0.3,1,9391209,PavlovSebastian,0.41035642210764023
106,True,Gad,0.3,2,24557716,SouthamptonGuelph,0.4373846367418123
107,True,Gad,0.3,3,59694755,GaribaldiEllwood,0.4695653439767478
108,True,Gad,0.35,0,4840687,CainDenmark,0.3921945502612989
109,True,Gad,0.35,1,28959925,PradoBurtt,0.41707528502716773
110,True,Gad,0.35,2,54322754,LindberghMarianne,0.4506604234497704
111,True,Gad,0.35,3,31519051,GilesGordian,0.47310656219164243
112,True,Gad,0.4,0,58636821,SimlaMcBride,0.40799109207091244
113,True,Gad,0.4,1,47327343,LenaSabina,0.43304535175728953
114,True,Gad,0.4,2,96894036,VivianHieronymus,0.4557011230171766
115,True,Gad,0.4,3,39356487,HolmdelMachiavelli,0.4764151240792779
116,True,Gad,0.45,0,5961115,LeroyAndrei,0.42521925861697285
117,True,Gad,0.45,1,28045334,SudaneseMagog,0.44586885247582936
118,True,Gad,0.45,2,87962868,ClarkMaximilian,0.47259404445603376
119,True,Gad,0.45,3,11672491,RidgwayRomania,0.4980434189109458
120,True,G,0.2,0,40166360,VenusMerritt,0.36173105544067785
121,True,G,0.2,1,45692167,LarsonAvernus,0.4005659165767647
122,True,G,0.2,2,71384528,DonahueCurran,0.4197772576487743
123,True,G,0.2,3,15344500,GeoffreyShannon,0.4294692314284657
