,binarize,graph_type,param_key,res,seed,threshold,modularity
0,True,G,ErosElisabeth,0.1,50782278,0,0.2625998300938589
1,True,G,PfizerHutchins,0.1,28276534,1,0.3005749586122197
2,True,G,PittstonPhelps,0.1,38735672,2,0.31478069075259557
3,True,G,TriassicTeutonic,0.1,58149706,3,0.3262240079790421
4,True,G,WinifredMonmouth,0.2,81909023,0,0.38916839355010524
5,True,G,VicksburgMalay,0.2,23309599,1,0.4160215598758963
6,True,G,WinstonSudan,0.2,21335188,2,0.4155888454404564
7,True,G,EhrlichThruway,0.2,35851680,3,0.41268092596564887
8,True,G,DebbieDecca,0.3,79733804,0,0.42473931608492843
9,True,G,WeiMuenster,0.3,27192292,1,0.44924118888120207
10,True,G,AlexeiLancaster,0.3,14432120,2,0.472816057022639
11,True,G,BradleyBriton,0.3,55343115,3,0.48186366691086446
12,True,G,DisKiwanis,0.4,54842043,0,0.4637101794803895
13,True,G,ElmiraLima,0.4,17950834,1,0.4796245332956244
14,True,G,ClothoProcter,0.4,23254219,2,0.49234781304913516
15,True,G,FaustianHuntington,0.4,3652930,3,0.5056938494717899
16,True,G,HagstromFlagstaff,0.5,74637120,0,0.47432634023056974
17,True,G,CypriotBronx,0.5,79775962,1,0.5070031973577913
18,True,G,BirgitMinnie,0.5,43333163,2,0.5116759785180595
19,True,G,BurchHokan,0.5,74202205,3,0.5210002801665097
20,True,G,AlexeiWhipple,0.6,77905148,0,0.5046660576839745
21,True,G,EleazarCayley,0.6,95448968,1,0.5208750473026555
22,True,G,HerbertFalstaff,0.6,55860213,2,0.5208067411918725
23,True,G,JensenHanley,0.6,88366879,3,0.5255442537737287
24,True,G,PepsiMohr,0.7,76679048,0,0.5070906496384808
25,True,G,HanoverianSandusky,0.7,44799736,1,0.5305705924042949
26,True,G,HaitianRussell,0.7,25201349,2,0.5382318200476517
27,True,G,MortonIstanbul,0.7,94990213,3,0.5439861914329569
28,True,G,KarolPalermo,0.8,90390420,0,0.51742056321733
29,True,G,AmmermanDugan,0.8,44352123,1,0.530955942628924
30,True,G,McPhersonArmour,0.8,25704412,2,0.5425879935972954
31,True,G,BucknellKafkaesque,0.8,52950364,3,0.5471390922552392
32,False,G,AckermanAlicia,0.1,24138710,0,0.2884796211779284
33,False,G,GuyanaAshmolean,0.1,97703791,1,0.30678722602974146
34,False,G,OpelBosporus,0.1,52133420,2,0.33290730599561486
35,False,G,ErrolDecca,0.1,91349669,3,0.3433002520711846
36,False,G,IrelandWilson,0.2,24796939,0,0.43181730868347085
37,False,G,JillRensselaer,0.2,10317429,1,0.42744950927340686
38,False,G,VaughnClotho,0.2,68290206,2,0.44286769389447317
39,False,G,SmuckerLockheed,0.2,93081677,3,0.4629326718807648
40,False,G,RastusByrd,0.3,27721155,0,0.4674934166829126
41,False,G,SlovakiaBurr,0.3,73278111,1,0.49291448430003676
42,False,G,HelmholtzDurrell,0.3,82900823,2,0.5028183151324622
43,False,G,MilwaukeeArnold,0.3,10336669,3,0.5187195128671153
44,False,G,GanymedeSabine,0.4,55758577,0,0.4932146084379834
45,False,G,HelveticaTegucigalpa,0.4,50117390,1,0.5102730589267163
46,False,G,AureliusBimini,0.4,85046118,2,0.529225225890036
47,False,G,AmesWhatley,0.4,14029636,3,0.5280336162460564
48,False,G,BermanCorinth,0.5,19159778,0,0.5054493729431353
49,False,G,TriangulumBrady,0.5,30413220,1,0.5314855616563124
50,False,G,ElliottCraig,0.5,16999528,2,0.5358789696876811
