param_key,binarize,graph_type,res,seed,threshold,modularity,Parameters,MB-ARI,MB-roARI,MB-moARI,AL-ARI,AL-roARI,AL-moARI,MB-cls,AL-cls
IsoldeBrooklyn,False,G,0.1,49944539,0,0.2997420641787532,0,0.004631422183908394,0.15455851146060473,0.5820804430906146,0.0005676956065478568,0.012149850259024814,0.27904828877333365,0.7911177457717324,0.6312072235171339
BridgeportTim,True,G,0.1,81679742,0,0.26540519664305906,1,0.004672784442082547,0.1213968498520916,0.4738608440221084,0.00017566191328335936,0.02237397773484977,0.25996881831505103,0.7393726764150161,0.6953976982716359
TomEuridyce,False,G,0.2,89335020,0,0.4382496167758896,2,0.009438939378932698,0.16205335303221188,0.38872271173873585,0.0013199495219816013,0.11683269019051379,0.3484948560114568,0.7950603862975258,0.6884253127562001
WinifredMonmouth,True,G,0.2,81909023,0,0.3891683935501053,3,0.010574556749936284,0.11831264870679162,0.29461271750486606,-0.0006771027548504627,0.005540752299052764,0.2006003169388181,0.7562830868788728,0.3835355060410277
CushingBlackfoot,False,G,0.3,36089580,0,0.4773807493584946,4,0.013212689961601718,0.2406089405211689,0.43854034660084135,0.0016376063464497096,0.08983982537226583,0.4374833627974676,0.7725615993823155,0.6106548256338346
CorbettCayley,True,G,0.3,9582373,0,0.4273803222517649,5,0.014699008051233607,0.25295561279355455,0.4096240966386685,-0.0003227401626925932,-0.0009488817610789115,0.17685843691194542,0.7840177143088733,0.36044683942742217
AldenMaldive,False,G,0.4,47813516,0,0.5000347364405646,6,0.02073721141470848,0.45724039881163037,0.5435028751910769,0.0012958047041557112,0.0812958708190705,0.25844418329804986,0.8147035865295602,0.400393653591289
DisKiwanis,True,G,0.4,54842043,0,0.4637101794803895,7,0.022813924753044692,0.4635216083925639,0.43894196484793546,0.0010731870322210006,-0.006466737369913849,0.1605588789324218,0.7888449604958296,0.3225348909576162
UtahBrenner,False,G,0.5,75969342,0,0.5253602563321228,8,0.032568212267838376,0.42810482305746517,0.5270542402334534,0.0027954595839153407,0.03281492827528611,0.19962359800582116,0.797371174707666,0.31709415232459043
ChopinScottish,True,G,0.5,30910630,0,0.4877521956803928,9,0.034734999948266274,0.3394905676316013,0.3182217472407558,0.000522367738882615,-0.012159536700637996,0.0962719587980105,0.8064533575570813,0.2174397721562837
ParthenonAztec,False,G,0.6,73441596,0,0.5384972423056018,10,0.03691926856491885,0.454538537280973,0.2590287279911791,0.0038451104603105172,-0.0011227718865880498,0.14307767262619897,0.7940023061339302,0.31377815506109974
ElsinoreJones,True,G,0.6,16224019,0,0.508701871447766,11,0.03289528444199527,0.17752970162537532,0.17508039056291758,0.00027949458516513724,-0.007095567509395623,0.0640977429299699,0.44935660622682966,0.18862737319760234
MukdenLloyd,False,G,0.7,48025045,0,0.5464846466756488,12,0.04157588784988915,0.8051814554547159,0.5197430620142459,0.0038635752010238254,-0.011261446491736691,0.11813499770837925,0.7637932636991632,0.2630167252663776
OlduvaiLind,True,G,0.7,48262391,0,0.5165071015974264,13,0.037649940521646975,0.14794598258072747,0.1237704195407688,-0.0001497638499462576,-0.008132025352934414,0.05206394577357389,0.44805224874782035,0.16810437514596305
CzerniakThor,False,G,0.8,82790174,0,0.5469167452068315,14,0.04227318403058145,0.8541173829268526,0.4845977846995237,0.00405028146237839,-0.0054347345080928856,0.12223309808015886,0.7844938036210709,0.2746980382655683
