,0,1
0,2988292,19046339
1,3926669,3727026
2,4279887,10293348
3,4607160,9287199
4,4637677,17913185
5,4966994,16578252
6,5708994,17654617
7,5767836,20443505
8,7439913,17654519
9,7476468,3727004
10,8025665,6190181
11,8118929,2775943
12,8142831,17655000
13,8253620,18639459
14,8423405,11137808
15,8529400,7449767
16,8639662,13046354
17,8884212,19143114
18,9072237,4201020
19,9201911,17591687
20,9251793,4190567
21,9252296,4201555
22,9421292,5507096
23,9481869,14762026
24,9503428,10343101
25,9739780,3182103
26,9747418,4127707
27,9870483,14328512
28,9983417,17658884
29,10018260,17379372
30,10240382,5895651
31,10540188,8932110
32,10609443,6114695
33,10612094,12122924
34,10710503,18142558
35,10842047,14914182
36,10885466,12548756
37,10922020,17654638
38,11013583,17589475
39,11079069,12990900
40,11216417,8451818
41,11934261,15633329
42,12252572,16651566
43,12279941,17328632
44,12299647,11624548
45,12420898,5162462
46,12509506,16841026
47,12832017,19091931
48,13028455,4390116
49,13818467,17813001
50,14434314,13369670
51,14726012,9091922
52,14999928,4591713
53,15055590,14492880
54,15639216,15639331
55,15676016,3058132
56,15686444,15638932
57,15825892,3765728
58,16007457,8840343
59,16059078,4130960
60,16089743,10340880
61,16095576,20370716
62,16422727,20443362
63,16444758,17762417
64,16472086,16433177
65,16544485,17937123
66,16693923,17654967
67,16838915,8544824
68,16856369,16561429
69,16937395,9519425
70,16937799,17654991
71,17038587,8065771
72,17075832,14039007
73,17105842,13849274
74,17244655,17360593
75,17306107,6111289
76,17358891,19190681
77,17360022,9565674
78,17360030,15636411
79,17360034,17378455
80,17360038,17378483
81,17360042,9856062
82,17360070,15656223
83,17360076,15655801
84,17420035,8705088
85,17423412,13038489
86,17641913,13429045
87,17729020,15684934
88,17732031,11081239
89,17732270,6125806
90,18099401,5975584
91,18267838,4173633
92,18485293,17647621
93,18501001,1805669
94,18551732,8161148
95,18648531,13665529
96,19045334,9585036
97,19395500,8559525
98,20172310,9521722
99,20981350,8715940
100,20379247,17658602
101,20730780,9202326
102,3797420,5558724
103,5768240,1805418
104,11029359,3232277
105,17574013,9085808
106,16059134,10725068
107,16863538,20443571
108,19051631,8193545
109,17545695,14154154
